/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-01-01.npy|black beauty : the autobiography of a horse .~|0 2 3 4 5 6 7 8|1 4 4 1 7 7 4 1|amod punct det appos case det nmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-35.npy|and there was poor rory , with his flesh torn open and bleeding , and the blood streaming down .~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19|2 2 4 2 4 8 8 9 4 9 12 10 17 17 16 17 9 17 2|cc expl amod nsubj punct case nmod:poss nsubj acl xcomp cc conj punct cc det nsubj conj compound:prt punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-36.npy|they said if it had been a little more to one side it would have killed him ; and a good thing for him , poor fellow , if it had .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31|1 15 8 8 8 7 8 15 11 11 8 15 15 15 1 15 21 21 21 21 15 23 21 26 26 21 21 30 30 21 1|nsubj mark nsubj aux cop det obl:npmod advmod case nummod obl nsubj aux aux ccomp obj punct cc det amod conj case nmod punct amod appos punct mark nsubj advcl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-37.npy|as it was , it was a long time before the wound healed , and then he was sold for coal carting ; and what that is , up and down those steep hills , only horses know .~|0 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38|2 2 8 8 8 8 8 8 12 11 12 8 18 18 18 18 18 8 21 21 18 37 37 37 24 33 33 33 30 28 33 33 24 37 36 37 8 8|mark nsubj advcl punct nsubj cop det amod mark det nsubj advcl punct cc advmod nsubj:pass aux:pass conj case compound obl punct cc obj nsubj cop punct case cc conj det amod conj punct advmod nsubj conj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-38.npy|some of the sights i saw there , where a horse had to come downhill , with a heavily loaded two-wheel cart behind him , on which no drag could be placed , make me sad even now to think of .~|0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 39 40 41 42 43|35 3 3 0 5 3 5 11 11 10 11 0 13 11 13 23 23 23 19 23 22 22 23 13 25 23 0 28 33 30 33 33 33 23 35 35 35 39 37 41 37 41 35|dislocated case det nmod nsubj acl:relcl advmod punct mark det nsubj acl:relcl mark xcomp advmod punct case det advmod amod nummod punct compound obl case nmod punct case obl det nsubj:pass aux aux:pass acl:relcl punct obj xcomp advmod advmod mark advcl obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-39.npy|after rory was disabled i often went in the carriage with a mare named peggy , who stood in the next stall to mine .~|0 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24|3 3 3 6 6 6 9 9 6 12 12 6 12 13 14 17 12 21 21 21 17 23 17 6|mark nsubj cop advcl nsubj advmod case det obl case det obl acl xcomp punct nsubj acl:relcl case det amod obl case obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-40.npy|she was a strong , well-made animal of a bright dun color , beautifully dappled , and with a dark-brown mane and tail .~|0 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27|8 8 8 8 8 7 7 8 13 13 13 13 8 16 16 13 24 24 24 24 23 23 24 13 26 24 8|nsubj cop det amod punct advmod punct amod case det amod compound nmod punct advmod amod punct cc case det amod punct amod conj cc conj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-41.npy|there was no high breeding about her , but she was very pretty and remarkably sweet-tempered and willing .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20|1 4 4 1 6 4 12 12 12 12 12 1 15 15 12 17 12 19 17 1|expl det amod nsubj case nmod punct cc nsubj cop advmod conj cc advmod conj punct conj cc conj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-42.npy|still , there was an anxious look about her eye , by which i knew that she had had some trouble .~|0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21|3 3 3 6 6 3 9 9 6 14 12 14 14 6 18 18 18 14 20 18 3|advmod punct expl det amod nsubj case nmod:poss nmod punct case obl nsubj acl:relcl mark nsubj aux ccomp det obj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-43.npy|the first time we went out together i thought she had a very odd pace ; she seemed to go partly a trot , partly a canter , three or four paces , and then a little jump forward .~|0 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39|2 2 8 4 2 4 4 8 10 8 14 13 14 10 17 17 8 19 17 19 22 19 26 26 26 19 31 31 30 28 26 37 37 37 37 37 19 37 8|det amod obl:tmod nsubj acl:relcl advmod advmod nsubj nsubj ccomp det advmod amod obj punct nsubj parataxis mark xcomp advmod det obj punct advmod det obj punct nummod cc conj conj punct cc advmod det amod conj advmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-44.npy|it was very unpleasant for any horse who pulled with her , and made me quite fidgety .~|0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17|3 3 3 6 6 3 8 6 10 8 13 13 3 13 16 13 3|nsubj cop advmod case det obl nsubj acl:relcl case obl punct cc conj obj advmod xcomp punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-45.npy|when we got home i asked her what made her go in that odd , awkward way .~|0 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17|2 2 5 2 5 5 8 5 8 8 16 16 16 16 16 10 5|mark nsubj advcl advmod nsubj iobj nsubj ccomp obj xcomp case det amod punct amod obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-46.npy|ah , she said in a troubled manner , i know my paces are very bad , but what can i do ?~|0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22|3 3 3 7 7 7 3 10 10 3 12 15 15 15 10 21 21 21 21 21 3 3|discourse punct nsubj case det amod obl punct nsubj parataxis nmod:poss nsubj cop advmod ccomp punct cc obj aux nsubj conj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-47.npy|it really is not my fault ; it is just because my legs are so short .~|0 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16|5 5 5 5 5 5 8 5 15 15 12 15 15 15 8 5|nsubj advmod cop advmod nmod:poss punct nsubj parataxis advmod mark nmod:poss nsubj cop advmod advcl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-48.npy|i stand nearly as high as you , but your legs are a good three inches longer above your knee than mine , and of course you can take a much longer step and go much faster .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37|1 4 4 1 6 4 16 16 10 16 16 15 16 15 16 1 19 19 16 21 16 28 28 28 24 28 28 1 32 31 32 28 34 28 36 34 1|nsubj advmod advmod advmod case obl punct cc nmod:poss nsubj cop det amod nummod obl:npmod conj case nmod:poss obl case obl punct cc advmod fixed nsubj aux conj det advmod amod obj cc conj advmod advmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-49.npy|you see , i did not make myself .~|0 2 3 4 5 6 7 8|1 1 6 6 6 1 6 1|nsubj punct nsubj aux advmod ccomp obj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-50.npy|i wish i could have done so ; i would have had long legs then .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15|1 5 5 5 1 5 1 11 11 11 1 13 11 11 1|nsubj nsubj aux aux ccomp advmod punct nsubj aux aux parataxis amod obj advmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-51.npy|all my troubles come from my short legs , said peggy , in a desponding tone .~|0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16|2 2 3 7 7 7 3 9 3 9 15 15 15 15 9 9|det:predet nmod:poss nsubj case nmod:poss amod obl punct parataxis nsubj punct case det amod obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-52.npy|but how is it , i said , when you are so strong and good-tempered and willing ?~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19|6 1 1 1 6 1 6 12 12 12 12 6 14 12 16 12 18 16 6|cc cop nsubj punct nsubj parataxis punct mark nsubj cop advmod advcl cc conj punct conj cc conj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-53.npy|why , you see , said she , men will go so fast , and if one can't keep up to other horses , it is nothing but whip , whip , whip all the time .~|0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37|3 3 3 5 3 10 10 10 10 5 12 10 27 27 19 19 19 19 27 19 23 23 19 27 27 27 10 29 27 31 29 33 29 36 36 33 3|advmod punct nsubj punct conj nsubj punct nsubj aux ccomp advmod advmod punct cc mark nsubj aux advmod advcl compound:prt case amod obl punct nsubj cop conj cc conj punct conj punct conj det:predet det obl:tmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-54.npy|and so i have had to keep up as i could , and have got into this ugly shuffling pace .~|0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20|14 4 4 4 6 4 6 10 10 6 14 14 14 4 19 19 19 19 14 4|cc advmod nsubj aux mark xcomp compound:prt mark nsubj advcl punct cc aux conj case det amod compound obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-55.npy|it was not always so ; when i lived with my first master , i always went a good regular trot , but then he was not in such a hurry .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31|1 1 4 1 16 8 8 16 12 12 12 8 16 16 16 1 20 20 20 16 30 30 30 30 30 30 30 30 30 16 4|nsubj advmod advmod advmod punct mark nsubj advcl case nmod:poss amod obl punct nsubj advmod parataxis det amod amod obj punct cc advmod nsubj cop advmod case det:predet det conj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-56.npy|he was a young clergyman in the country , and a good , kind master he was .~|0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17|4 4 4 4 7 7 4 14 14 14 14 14 14 4 16 14 4|nsubj cop det amod case det nmod punct cc det amod punct amod conj nsubj acl:relcl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-57.npy|he had two churches a good way apart , and a great deal of work , but he never scolded or whipped me for not going faster .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27|1 3 1 6 6 1 1 12 12 12 12 3 14 12 19 19 19 19 1 21 19 21 25 25 21 25 1|nsubj nummod obj det amod obj advmod punct cc det amod conj case nmod punct cc nsubj advmod conj cc conj obj mark advmod advcl advmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-58.npy|he was very fond of me .~|0 1 2 4 5 6|3 3 3 5 3 3|nsubj cop advmod case obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-59.npy|i only wish i was with him now ; but he had to leave and go to a large town , and then i was sold to a farmer .~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29|2 2 6 6 6 2 6 2 11 11 2 13 11 15 13 19 19 19 15 25 25 25 25 25 2 28 28 25 2|nsubj advmod nsubj cop case ccomp advmod punct cc nsubj conj mark xcomp cc conj case det amod obl punct cc advmod nsubj:pass aux:pass conj case det obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-60.npy|some farmers , you know , are capital masters ; but i think this one was a low sort of man .~|0 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21|1 8 4 4 1 8 8 8 8 12 12 8 14 18 18 18 18 12 20 18 8|det nsubj punct nsubj parataxis punct cop amod punct cc nsubj conj det nsubj cop det amod ccomp case nmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-61.npy|he cared nothing about good horses or good driving ; he only cared for going fast .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16|1 1 5 5 2 8 8 5 1 12 12 1 14 12 14 1|nsubj obj case amod nmod cc amod conj punct nsubj advmod parataxis mark advcl advmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-62.npy|i went as fast as i could , but that would not do , and he was always whipping ; so i got into this way of making a spring forward to keep up .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34|1 3 1 6 6 2 12 12 12 12 12 1 18 18 18 18 18 1 1 22 22 1 25 25 22 27 25 29 27 27 32 27 32 1|nsubj advmod advmod mark nsubj advcl punct cc nsubj aux advmod conj punct cc nsubj aux advmod conj punct advmod nsubj parataxis case det obl mark acl det obj advmod mark advcl compound:prt punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-63.npy|on market nights he used to stay very late at the inn , and then drive home at a gallop .~|0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20|2 2 4 4 6 4 8 6 11 11 6 15 15 15 6 15 19 19 15 4|case compound obl nsubj mark xcomp advmod advmod case det obl punct cc advmod conj advmod case det obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-64.npy|one dark night he was galloping home as usual , when all of a sudden a wheel came against some great heavy thing in the road , and turned the gig over in a minute .~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35|2 2 5 5 2 5 8 5 17 17 17 14 14 11 16 17 5 22 22 22 22 17 25 25 22 28 28 17 30 28 28 34 34 28 2|nummod amod nsubj aux acl:relcl advmod case obl punct mark nsubj case det nmod det nsubj advcl case det amod amod obl case det nmod punct cc conj det obj advmod case det obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-65.npy|he was thrown out and his arm broken and some of his ribs , i think .~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16|2 2 2 7 6 7 2 9 7 12 12 9 2 15 2 2|nsubj:pass aux:pass compound:prt cc nmod:poss nsubj conj cc conj case nmod:poss nmod punct nsubj parataxis punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-66.npy|at any rate , it was the end of my living with him , and i was not sorry .~|0 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19|2 2 7 7 7 7 7 10 10 7 12 7 18 18 18 18 18 7 7|case det nmod punct nsubj cop det case nmod:poss nmod case nmod punct cc nsubj cop advmod conj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-67.npy|but you see it will be the same everywhere for me , if men must go so fast .~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18|2 2 7 7 7 7 2 7 10 7 2 15 15 15 7 17 15 2|cc nsubj nsubj aux cop det ccomp advmod case obl punct mark nsubj aux advcl advmod advmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-68.npy|i wish my legs were longer !~|0 2 3 4 5 6|1 3 5 5 1 1|nsubj nmod:poss nsubj cop ccomp punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-69.npy|she was often used in the phaeton , and was very much liked by some of the ladies , because she was so gentle ; and some time after this she was sold to two ladies , who drove themselves and wanted a good , safe horse .~|0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47|3 3 3 6 6 3 12 12 12 11 12 3 14 12 17 17 14 23 23 23 23 23 12 32 32 27 32 29 27 32 32 23 35 35 32 35 38 35 38 41 38 46 46 46 46 41 3|nsubj:pass aux:pass advmod case det obl punct cc aux:pass advmod advmod conj case obl case det nmod punct mark nsubj cop advmod advcl punct cc det obl:tmod case nmod nsubj:pass aux:pass conj case nummod obl punct nsubj acl:relcl obj cc conj det amod punct amod obj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-70.npy|i met her several times out in the country , going a good steady pace , and looking as gay and contented as a horse could be .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27|1 1 4 1 1 8 8 1 10 1 14 14 14 10 17 17 10 19 17 21 19 26 24 26 26 19 1|nsubj obj amod obl:tmod advmod case det obl punct advcl det amod amod obj punct cc conj advmod xcomp cc conj mark det nsubj aux advcl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-71.npy|i was very glad to see her , for she deserved a good place .~|0 1 2 4 5 6 7 8 9 10 11 12 13 14|3 3 3 5 3 5 3 10 10 3 13 13 10 3|nsubj cop advmod mark xcomp obj punct mark nsubj advcl det amod obj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-72.npy|after she left us another horse came in her stead .~|0 1 2 3 4 5 7 8 9 10|2 2 6 2 5 6 9 9 6 6|mark nsubj advcl iobj det nsubj case nmod:poss obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-73.npy|he was young , and had a bad name for shying and starting , by which he had lost a good place .~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22|2 2 5 5 2 8 8 5 10 8 12 10 18 15 18 18 18 8 21 21 18 2|nsubj cop punct cc conj det amod obj mark acl cc conj punct case obl nsubj aux acl:relcl det amod obj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-74.npy|i asked him what made him shy .~|0 2 3 4 5 6 7|1 1 4 1 4 4 1|nsubj iobj nsubj ccomp obj xcomp punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-75.npy|well , i hardly know , he said .~|0 1 2 3 4 5 6 8|4 4 4 4 7 4 7 7|discourse punct nsubj advmod ccomp punct nsubj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-77.npy|i think if he would have let me just look at things quietly , and see that there was nothing to hurt me , it would have been all right , and i should have got used to them .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39|1 6 6 6 6 29 6 9 6 11 9 9 15 15 6 18 18 15 18 21 19 21 29 29 29 29 29 29 1 36 36 36 36 36 36 29 38 36 1|nsubj mark nsubj aux aux advcl obj advmod xcomp case obl advmod punct cc conj mark expl ccomp nsubj mark acl obj punct nsubj aux aux cop advmod ccomp punct cc nsubj:pass aux aux aux:pass conj case obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-78.npy|one day an old gentleman was riding with him , and a large piece of white paper rag blew across just on one side of me .~|0 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26|1 6 4 4 6 6 8 6 18 18 13 13 18 17 16 17 13 6 18 23 23 23 18 25 23 6|nummod obl:tmod det amod nsubj aux case obl punct cc det amod nsubj case amod compound nmod conj advmod advmod case nummod obl case nmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-79.npy|i shied and started forward .~|0 2 3 4 5|1 3 1 3 1|nsubj cc conj advmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-80.npy|my master as usual whipped me smartly , but the old man cried out , you're wrong , you're wrong !~|0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22|1 4 3 1 4 4 12 12 11 11 12 4 12 17 17 17 4 21 21 21 17 4|nmod:poss nsubj case nmod obj advmod punct cc det amod nsubj conj compound:prt punct nsubj cop conj punct nsubj cop parataxis punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-81.npy|you should never whip a horse for shying ; he shies because he is frightened , and you only frighten him more and make the habit worse .~|0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27|3 3 3 5 3 7 3 3 10 3 14 14 14 10 19 19 19 19 3 19 19 23 19 25 23 23 3|nsubj aux advmod det obj mark advcl punct nsubj parataxis mark nsubj cop advcl punct cc nsubj advmod conj obj advmod cc conj det obj xcomp punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-82.npy|so i suppose all men don't do so .~|0 1 3 4 5 6 7 8 9|2 2 4 7 7 7 2 7 2|advmod nsubj det nsubj aux advmod ccomp advmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-83.npy|i am sure i don't want to shy for the sake of it ; but how should one know what is dangerous and what is not , if one is never allowed to get used to anything ?~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38|2 2 6 6 6 2 8 6 11 11 8 13 11 2 19 19 19 19 2 22 22 19 24 22 24 25 19 32 32 32 32 19 35 35 32 37 35 2|nsubj cop nsubj aux advmod ccomp mark xcomp case det obl case nmod punct cc advmod aux nsubj conj nsubj cop ccomp cc conj cop advmod punct mark nsubj:pass aux:pass advmod advcl mark aux:pass xcomp case obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-84.npy|i am never afraid of what i know .~|0 1 2 4 5 6 7 8|3 3 3 5 3 7 5 3|nsubj cop advmod case obl nsubj acl:relcl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-86.npy|i knew what my companion said was true , and i wished that every young horse had as good masters , as farmer grey and squire gordon .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27|1 5 4 5 1 7 5 11 11 11 1 16 15 15 16 11 19 19 16 23 23 23 16 26 26 23 1|nsubj obj nmod:poss nsubj ccomp cop ccomp punct cc nsubj conj mark det amod nsubj ccomp case amod obl punct case compound obl cc compound conj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-87.npy|of course , we sometimes came in for good driving here .~|0 1 2 3 4 6 7 8 9 10 11|5 0 5 5 5 5 9 9 5 9 5|advmod fixed punct nsubj advmod advmod case amod obl advmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-88.npy|i remember one morning i was put into the light gig , and taken to a house in pulteney street .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20|1 3 1 6 6 1 10 10 10 6 13 13 6 16 16 13 19 19 16 1|nsubj nummod obl:tmod nsubj:pass aux:pass ccomp case det compound obl punct cc conj case det obl case compound nmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-89.npy|two gentlemen came out ; the taller of them came round to my head ; he looked at the bit and bridle , and just shifted the collar with his hand to see if it fitted comfortably .~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37|1 2 2 2 6 9 8 6 2 9 13 13 10 16 16 2 19 19 16 21 19 25 25 25 16 27 25 30 30 25 32 25 35 35 32 35 2|nummod nsubj advmod punct det nsubj case nmod parataxis advmod case nmod:poss obl punct nsubj parataxis case det obl cc conj punct cc advmod conj det obj case nmod:poss obl mark advcl mark nsubj advcl advmod punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-90.npy|do you consider this horse wants a curb ?~|0 1 3 4 5 6 7 8|2 2 4 5 2 7 5 2|aux nsubj det nsubj ccomp det obj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-91.npy|he said to the hostler .~|0 2 3 4 5|1 4 4 1 1|nsubj case det obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-92.npy|well , said the man , i should say he would go just as well without ; he has an uncommon good mouth , and though he has a fine spirit he has no vice ; but we generally find people like the curb .~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44|2 2 4 8 8 8 8 2 11 11 8 13 11 13 13 18 18 8 22 22 22 18 32 32 27 27 18 30 30 27 32 8 34 32 8 39 39 39 8 39 43 43 39 8|discourse punct det nsubj punct nsubj aux ccomp nsubj aux ccomp advmod advmod fixed fixed punct nsubj parataxis det amod amod obj punct cc mark nsubj advcl det amod obj nsubj conj det obj punct cc nsubj advmod conj obj case det obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-93.npy|i do n't like it , said the gentleman ; be so good as to take it off , and put the rein in at the cheek .~|0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27|3 3 3 3 6 3 8 6 12 12 12 3 15 15 12 15 15 20 20 15 22 20 20 26 26 20 3|nsubj aux advmod obj punct parataxis det nsubj punct cop advmod parataxis mark mark advcl obj compound:prt punct cc conj det obj advmod case det obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-94.npy|an easy mouth is a great thing on a long journey , is it not , old fellow ?~|0 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18|2 2 6 6 6 6 10 10 10 6 6 13 6 17 17 17 6 6|det amod nsubj cop det amod case det amod nmod punct cop parataxis advmod punct amod parataxis punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-95.npy|he said , patting my neck .~|0 2 3 4 5 6|1 3 1 5 3 1|nsubj punct advcl nmod:poss obj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-96.npy|then he took the reins , and they both got up .~|0 1 3 4 5 6 7 8 9 10 11|2 2 4 2 9 9 9 7 2 9 2|advmod nsubj det obj punct cc nsubj det conj compound:prt punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-97.npy|i can remember now how quietly he turned me round , and then with a light feel of the rein and drawing the whip gently across my back , we were off .~|0 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32|2 2 2 5 7 7 2 7 7 31 31 16 16 16 16 7 19 19 16 21 7 23 21 27 27 27 21 31 31 31 2 2|nsubj aux advmod mark advmod nsubj ccomp obj advmod punct cc advmod case det amod obl case det nmod cc conj det obj advmod case nmod:poss obl punct nsubj cop conj punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-98.npy|i arched my neck and set off at my best pace .~|0 2 3 4 5 6 7 8 9 10 11|1 3 1 5 1 5 10 10 10 5 1|nsubj nmod:poss obj cc conj compound:prt case nmod:poss amod obl punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-29-99.npy|i found i had some one behind me who knew how a good horse ought to be driven .~|0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18|1 3 1 5 3 7 5 9 5 17 13 13 14 9 17 17 9 1|nsubj nsubj ccomp det obj case nmod nsubj acl:relcl mark det amod nsubj ccomp mark aux:pass xcomp punct
/ceph/home/zhouyx20/data/BC2013_training_data/mels/mel-CA-BB-30-01.npy|chapter thirty .~|1 2|0 0|nummod punct
